JobTitle,company,description,Level,Type,StandardJobTitle
Web Developer, outofthebox, Full Time · Entry Level · 1-3 Yrs of Exp · Software Development · Web Development · javaScript · SEO · Computer Science · Information Technology (IT) · Computer Engineering · jQuery - July 26,Entery Level,Full Time,Software Engneering 
IT Help Desk Team Leader, El Mansour Development, Full Time · Manager · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Help Desk · Installation · Technical Support · English · IT · Troubleshooting · Computer · Technical - June 7,Managerial,Full Time,IT Category
IT Quality Assurance Engineer, Arabian Advanced Systems, Full Time · Experienced · 5-8 Yrs of Exp · Quality Assurance · Computer Science · IT · English · Quality Control · Quality · Engineering · Computer Engineering · Troubleshooting · Quality - June 30,Experienced,Full Time,IT Category
Backend Software Engineer, ShipBlu, Full Time · Work From Home · Experienced · 3+ Yrs of Exp · Information Technology (IT) · Software Engineering · Software Development · Computer Science · Software · Backend · Web Development - June 27,Experienced,Full Time,Software Engneering 
Software Testing Team Leader, 360Imaging, Full Time · Work From Home · Manager · 7+ Yrs of Exp · Software · Software Development · Software Testing · Test Automation · Jira · Computer Science · Information Technology (IT) · Agile · Testing - June 17,Managerial,Full Time,Software Engneering 
Senior Software Engineer, Smartera 3S, Full Time · Experienced · 3+ Yrs of Exp · Computer Science · Software Development · Java · OOP · Docker · Web Services · RESTful · MySQL · Design · Software Engineering · MVC - June 9,Experienced,Full Time,Software Engneering 
Technical Support (Software), Tradeline Stores, Full Time · Entry Level · 1-2 Yrs of Exp · Information Technology (IT) · Computer Science · Technical Support · Software · Apple · iOS · Troubleshooting · Maintenance · Computer Maintenance - June 21,Entery Level,Full Time,Software Engneering 
Senior Front End Developer, Caelum Egypt, Full Time · Experienced · 5-8 Yrs of Exp · Computer Science · javaScript · Design · HTML · React · SASS · Web Development · Information Technology (IT) · Software Development · English · Software - July 29,Experienced,Full Time,Software Engneering 
Node.js Backend Developer Remotely, GetTechForce.com, Full Time · Work From Home · Experienced · 3-10 Yrs of Exp · AWS · React · Backend · Software · developer · javaScript · remote · Information Technology (IT) · Computer Science · MySQL · Agile - June 15,Experienced,Full Time,Software Engneering 
Business Development (Sr.) Manager, Confidential, Full Time · Manager · 8-15 Yrs of Exp · Business Development · Sales · Logistics · Marketing · Communication · English · Business Administration · Courier · Business Development - July 11,Managerial,Full Time,Software Engneering 
Senior Java Developer, Onecard, Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Software Development · Java · javaScript · HTML · UML · JSP · J2EE · MVC · Hibernate · Swing · SWT · Agile · JEE - July 26,Experienced,Full Time,Software Engneering 
Senior Software Sales Specialist, Confidential, Full Time · Work From Home · Experienced · 3+ Yrs of Exp · Business Development · Software · Sales Skills · Sales · Customer Service · Business · English · Communication Skills · Sales Target - July 27,Experienced,Full Time,Software Engneering 
Junior Java Developer, AllegianceMD, Full Time · Experienced · 2+ Yrs of Exp · Programming · Software Development · Information Technology (IT) · Spring 3.x · JSFx · Primefaces · JUnit 4.x · Maven 3.x · Java · JSF2.x · HTML · MySQL - July 31,Experienced,Full Time,Software Engneering 
