JobTitle,company,description,Level,Type,StandardJobTitle
Software Project Manager / Scrum Master, Arabian Systems, Full Time · Manager · 5-6 Yrs of Exp · Project Management · Management · Information Technology (IT) · Telecommunication · Computer Science · Engineering · PMP · Microsoft Office · Communication - June 8,Managerial,Full Time,Software Engneering 
Software Testing Team Leader, Paxerahealth Corp, Full Time · Manager · 7-15 Yrs of Exp · Computer Science · Software Development · Testing · Software · Automation · ISTQB · TFS · Communication · Software Testing · SQL · IT/Software Development - June 14,Managerial,Full Time,Software Engneering 
Group IT Director, Confidential, Full Time · Senior Management · 8-15 Yrs of Exp · Computer Science · Information Technology (IT) · Business · IT · IT Operations · IT/Software Development · Operations/Management - June 16,Managerial,Full Time,IT Category
IT Manager, Alasafra hospital, Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · Computer Science · Project Management · IT · Engineering · Management · Communication · Technical · CCNP · MCSE · DevOps - June 15,Managerial,Full Time,IT Category
IT Infrastructure Section Head, Confidential, Full Time · Manager · 8-10 Yrs of Exp · Information Technology (IT) · Management · IT Infrastructure · Datacenter · MCSE · VMware · VCP · Data Centre Virtualization · Computer Science - July 13,Managerial,Full Time,IT Category
Java Development Team Leader, Silicon Egypt, Full Time · Manager · 6+ Yrs of Exp · Information Technology (IT) · Software Development · Angular · Software · Design Patterns · Design · Microservices · java · Computer Science · MySQL - New,Managerial,Full Time,Software Engneering 
IT Infrastructure Supervisor / Engineer, Confidential, Full Time · Manager · 3-8 Yrs of Exp · Information Technology (IT) · Infrastructure · Computer Science · Engineering · Computer · Linux · Information Technology · Configuration · Python · Git - July 10,Managerial,Full Time,IT Category
Software Project Manager, FlairsTech, Full Time · Manager · 5-7 Yrs of Exp · Project Management · Information Technology (IT) · Software · Management · English · Leadership · Project · Computer Science · PMP · Computer Engineering - July 14,Managerial,Full Time,Software Engneering 
Software Project Manager, IT Systems Corporation, Full Time · Manager · 3+ Yrs of Exp · Project Management · PMO · Business Analysis · ERP · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology - June 10,Managerial,Full Time,Software Engneering 
Software Project Manager, Informatique Education, Full Time · Manager · 10+ Yrs of Exp · Project Management · Information Technology (IT) · Software · Computer Science · Engineering · Computer · Science · English · IT/Software Development - June 16,Managerial,Full Time,Software Engneering 
Web Development Team Leader -, egyptlaptop, Full Time · Manager · 8-11 Yrs of Exp · Web Development · Software Development · Computer Science · Information Technology (IT) · Software · Agile · SQL · Development · MySQL · Database - July 9,Managerial,Full Time,Software Engneering 
Software Technical Director, Informatique Education, Full Time · Senior Management · 12+ Yrs of Exp · Engineering · Software · Architecture · Computer Engineering · Computer Science · C++ · Crystal · MVC · OpenGL · POS · SQL · Visio - June 12,Managerial,Full Time,Software Engneering 
Software Customer Support Manager, El-Moasser Books, Full Time · Manager · 5+ Yrs of Exp · Software Manager · information Technology · Customer Service · Customer Support · Customer Care · Software · Customer Service/Support · IT/Software Development - June 25,Managerial,Full Time,Software Engneering 
Java Lead Developer, Expleo, Full Time · Manager · 3-5 Yrs of Exp · Java Lead Developer · Java · Software Development · Computer Science · Information Technology (IT) · Java Development · IT/Software Development - July 8,Managerial,Full Time,Software Engneering 
IT Project Manager, Alkan CIT, Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · Project Management · Communication · Computer Science · Project · Project Manager · IT/Software Development - June 16,Managerial,Full Time,IT Category
Mobile Applications Development Lead, DBS, Full Time · Manager · 5+ Yrs of Exp · Mobile Applications · Mobile Applications Development · Applications · Development · Computer Science · Information Technology (IT) · Software Development - July 26,Managerial,Full Time,Software Engneering 
IT Manager, Confidential, Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · IT · Information Technology · Retail · Computer Systems · Computer Science · IT/Software Development - June 7,Managerial,Full Time,IT Category
Software Sales Manager, Khtwah, Full Time · Work From Home · Manager · 2-5 Yrs of Exp · Sales Skills · Sales · Sales Target · Communication · Software · MS Office · Software Sales · IT/Software Development · Sales/Retail - June 5,Managerial,Full Time,Software Engneering 
Business Development Manager, Testing Geeks, Full Time · Manager · 5-8 Yrs of Exp · Sales · Business Development · Business · Software · Computer Science · Project Management · Management · English · IT · software house · Sales Skills - July 6,Managerial,Full Time,Software Engneering 
Senior Django Developer, Pillars, Full Time · Manager · 5-12 Yrs of Exp · Django · Information Technology (IT) · Computer Science · Agile · Python · Development · Installation/Maintenance/Repair · IT/Software Development - July 15,Managerial,Full Time,Software Engneering 
Backend Developer Team Leader, Asdaa, Full Time · Manager · 5-7 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · software engineering · mangement · laravel · react · php · ui designer · javascript - June 23,Managerial,Full Time,Software Engneering 
Lead Android Developer, TEMPO, Full Time · Manager · 5+ Yrs of Exp · Android · Computer Science · Software Development · Engineering · Information Technology (IT) · Java · Mobile Development · OOP · APIs · Kotlin · TDD - July 14,Managerial,Full Time,Software Engneering 
Senior Ruby On Rails Developer, Musala Soft, Work From Home · Manager · 5+ Yrs of Exp · Ruby · Git · RDBMS · Angular · React · AWS · Node.js · Docker · Data structures · Information Technology (IT) · Software Development · MySQL · MSSQL - June 7,Managerial,Full Time And Part Time And Work From Home,Software Engneering 
Frontend Developer - Team Leader, 360Imaging, Full Time · Work From Home · Manager · 5+ Yrs of Exp · Frontend · React · Javascript · HTML · CSS · Team Leader · Agile · Software · Software Development · Computer Science · Engineering - June 17,Managerial,Full Time,Software Engneering 
Senior Oracle Developer, EVA Cosmetics, Full Time · Manager · 2-5 Yrs of Exp · Information Technology (IT) · Computer Science · Oracle · Software Development · Oracle Database · Computer Skills · Computer · XML · Database · PL · English - July 4,Managerial,Full Time,Software Engneering 
Mobile Application Development Team Leader, DEVOPSolution, Full Time · Manager · 8+ Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Agile · iOS · Android · React · Git - June 13,Managerial,Full Time,Software Engneering 
Mobile Development Lead, Abjjad, Full Time · Work From Home · Manager · 6-10 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Android · Java · Engineering · Kotlin · Firebase · Development - July 12,Managerial,Full Time,Software Engneering 
Backend Developer - Team Leader, 360Imaging, Full Time · Work From Home · Manager · 5+ Yrs of Exp · Backend · Golang · AWS · Agile · Nodejs · javascript · Software · Software Development · Git · Information Technology (IT) · Engineering - June 17,Managerial,Full Time,Software Engneering 
Technical Lead .Net Full Stack Developer, Ashtar.app, Full Time · Manager · 10+ Yrs of Exp · Information Technology (IT) · Software Development · .NET · Software · Engineering · Troubleshooting · Computer Science · Communication · Management - June 9,Managerial,Full Time,Software Engneering 
