JobTitle,company,description,Level,Type,StandardJobTitle
Sales Support Agent, Tafeal, Full Time · Entry Level · 1+ Yrs of Exp · Customer Support · Customer Service · Sales · Sales Skills · Sales Target · IT Sales · Cloud Based Systems · IT/Software Development · Sales/Retail - June 17,Entery Level,Full Time,Software Engneering 
Junior Manual Tester, FlairsTech, Full Time · Entry Level · 1-3 Yrs of Exp · tester · QC · QA · Agile · IT/Software Development · Quality - July 13,Entery Level,Full Time,Software Engneering 
Production Specialist, EVA Cosmetics, Full Time · Entry Level · 1-3 Yrs of Exp · Production · Science · Manufacturing · Pharmaceutical · Cosmetics · Agriculture · English · MS Office · Microsoft Office · Pharmacy · R&D/Science - June 20,Entery Level,Full Time,Software Engneering 
Digital Sales & Marketing Coordinator, Aleqaria, Full Time · Entry Level · 1-4 Yrs of Exp · Digital Marketing · Google Analytics · Adsense · admanager · SEO · Digital Media · Social Media · Sales Skills · Marketing · SEM · Google AdWords - July 28,Entery Level,Full Time,Software Engneering 
HR Generalist, Pannelli, Full Time · Entry Level · 0-2 Yrs of Exp · Males Only · Human Resources (HR) · Recruitment · Personnel · HR · Microsoft Office · Communication Skills · English · Negotiation · Performance Appraisal - July 14,Entery Level,Full Time,Software Engneering 
Customer Handling Coordinator, Silicon21, Full Time · Entry Level · 1-2 Yrs of Exp · Customer Service · Customer Care · Customer Support · Customer Handling · Engineering · Commerce · Customer Service/Support · IT/Software Development - July 6,Entery Level,Full Time,Software Engneering 
Sales Representative, Dot Fire, Full Time · Entry Level · 1-3 Yrs of Exp · Sales · Sales Skills · Sales Target · Customer Service · English · MS Office · Firefighting · Sales Engineer · Sales/Retail - New,Entery Level,Full Time,Software Engneering 
MRP Specialist, Value M.E.P Services, Full Time · Entry Level · 0-2 Yrs of Exp · Logistics · MRP · Supply Chain · Purchasing · English · Management · Engineering · Supply · Logistics/Supply Chain · Engineering - Other - July 11,Entery Level,Full Time,Software Engneering 
Computer Instructor, MIU, Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Education · Computer Engineering · Teacher · Information Technology (IT) · Teaching · Engineering · Computer · Communication · English - July 6,Entery Level,Full Time,Software Engneering 
Project Site Engineer, EGICAT, Full Time · Entry Level · 1-4 Yrs of Exp · Engineering · Project Management · English · MEP · Projects · Mechatronics · Electrical · Electrical Engineering · Mechanical · Mechanical Engineering - New,Entery Level,Full Time,Software Engneering 
Installation Mechanical Engineer, EGICAT, Full Time · Entry Level · 0-5 Yrs of Exp · Mechanical Engineering · Installation · Engineering · Maintenance · Microsoft Office · Operations · Mechatronics · English - July 29,Entery Level,Full Time,Software Engneering 
Education Advisor - 6th Of October, Global Study UK, Full Time · Entry Level · 1-3 Yrs of Exp · Customer Service · Sales · UK Immigration Regulations · Education · Sales Skills · English · Communication Skills · Immigration · Customer Service/Support - July 29,Entery Level,Full Time,Software Engneering 
Education Advisor, Global Study UK, Full Time · Entry Level · 1-3 Yrs of Exp · Customer Service · Sales · UK Immigration Regulations · Customer Service/Support · Sales/Retail · Education/Teaching - July 29,Entery Level,Full Time,Software Engneering 
Social Media Moderator (Arabic), Mercury Communications, Full Time · Entry Level · 2+ Yrs of Exp · Social Media · Marketing · Media · Communication · Communication Skills · Social · Skills · Facebook · Moderator · Instagram · Arabic · Writing/Editorial - June 22,Entery Level,Full Time,Software Engneering 
Microsoft Modern Workplace Sales Specialist, Athear, Full Time · Entry Level · 1-3 Yrs of Exp · CRM · Sales · Business Development · Cloud · ERP · Microsoft Office · Sales Skills · Development · office 365 · Business · Selling · Digital · English - New,Entery Level,Full Time,Software Engneering 
Account Manager, FlairsTech, Full Time · Entry Level · 0-1 Yrs of Exp · Management · SaaS · Sales Skills · Sales · Customer Service · Customer Support · English · Sales Account Management · Account Management · Sales Target - July 18,Entery Level,Full Time,Software Engneering 
React Frontend Engineer, OrderGO LTD, Full Time · Work From Home · Entry Level · 2+ Yrs of Exp · JS · React · Webpack · React JS · Node js · html · css · Frontend · Agile · IT/Software Development - New,Entery Level,Full Time,Software Engneering 
HR Generalist, Scoop Production, Full Time · Entry Level · 1-4 Yrs of Exp · Human Resources (HR) · Recruitment · Personnel · Payroll · English · MS Office · Human Resources - June 15,Entery Level,Full Time,Software Engneering 
HR Generalist, Scoop Production, Full Time · Entry Level · 1-4 Yrs of Exp · Human Resources (HR) · Recruitment · Personnel · Payroll · English · MS Office · Human Resources - June 15,Entery Level,Full Time,Software Engneering 
Storage Management SR.Engineer, Elaraby Group, Full Time · Entry Level · 1-3 Yrs of Exp · Engineering · Computer Science · Management · Project Management · Computer Engineering · Storage · LINUX · Computer · backup · VMWARE - July 15,Entery Level,Full Time,Software Engneering 
Automotive Styling Engineer - Ain Sokhna (GBPOLO), Ghabbour Auto, Full Time · Entry Level · 1-3 Yrs of Exp · Maintenance · Mechanical Engineering · Engineering · Manufacturing · English · SolidWorks · Photoshop · AutoCAD · Installation/Maintenance/Repair - June 9,Entery Level,Full Time,Software Engneering 
Junior Data Scientist - Temporary Role, Premier Services and Recruitment, Part Time · Entry Level · 1-4 Yrs of Exp · Data Science · Data Scientist · AI · Machine Learning · Information Technology (IT) · Computer Science · Engineering · Python · SQL · javaScript · NLP - June 26,Entery Level,Part Time,Software Engneering 
Customer Service Representative, Blue Sky Events, Full Time · Entry Level · 1-2 Yrs of Exp · sales representative · Sales · Customer Service · Communication Skills · Call Center · English · Customer Support · Sales Target · Sales Skills - June 9,Entery Level,Full Time,Software Engneering 
Data Analyst, Tamweely, Full Time · Entry Level · 1-3 Yrs of Exp · Analysis · Data Analysis · Computer Science · SQL · Tableau · Power BI · Information Technology (IT) · Microsoft Excel · Data Visualization · Python - July 5,Entery Level,Full Time,Software Engneering 
Digital Marketing Specialist, Bavaya, Full Time · Entry Level · 1+ Yrs of Exp · Social Media · Marketing · Digital Marketing · E-marketing · Online Marketing · SEO · Advertising · SEM · Campaigns · Communication Skills - New,Entery Level,Full Time,Software Engneering 
Technical Support Specialist, Fekra Construction Investments, Full Time · Entry Level · 1-2 Yrs of Exp · Technical Support · Information Technology (IT) · Computer Science · Installation · MCSA · SCCM · IS · Computer Engineering · Customer Service/Support - June 30,Entery Level,Full Time,Software Engneering 
Sales Executive - Alexandria, Wide Horizons, Full Time · Entry Level · 1-2 Yrs of Exp · Sales · ERP · Sales Target · Sales Skills · Customer Service · English · Presentation Skills · CRM · Presentation · Communication Skills · Communication - July 4,Entery Level,Full Time,Software Engneering 
Website & Mobile Application Administrator, El-Moasser Books, Full Time · Entry Level · 1-2 Yrs of Exp · Computer Science · Computer Engineering · Website Admin · Dashboard · Administration · IT/Software Development · Engineering - Telecom/Technology - June 26,Entery Level,Full Time,Software Engneering 
Digital Marketing Executive, Nano Shield, Full Time · Entry Level · 1-3 Yrs of Exp · Digital Marketing · Marketing · E-marketing · Social Media · Advertising · Google AdWords · SEO · Web Design · Content Management · Content Writing - June 14,Entery Level,Full Time,Software Engneering 
Education Counsellor - French Speaker, Global Study UK, Full Time · Entry Level · 1-3 Yrs of Exp · Customer Service · Sales · UK Immigration Regulations · Customer Service/Support · Sales/Retail · Education/Teaching - June 25,Entery Level,Full Time,Software Engneering 
Project Management Intern, TMentors, Internship · Entry Level · 0-1 Yrs of Exp · Project Management · Business Administration · Information Technology (IT) · Computer Science · Economics · Mathematics · Science · Microsoft Office - July 13,Entery Level,Internship,Software Engneering 
Education Counsellor, Global Study UK, Full Time · Entry Level · 1-3 Yrs of Exp · Customer Service · Sales · UK Immigration Regulations · Customer Service/Support · Sales/Retail · Education/Teaching - June 24,Entery Level,Full Time,Software Engneering 
Machine Learning Researcher, RDI, Full Time · Entry Level · 0-3 Yrs of Exp · Machine Learning · Deep Learning · Python · TensorFlow · Computer Engineering · Computer Science · Flask · GIT · Linux · C++ · CUDA · Engineering - July 28,Entery Level,Full Time,Software Engneering 
Application Support Specialist - Internship, EME International, Internship · Entry Level · Information Technology (IT) · Application Support · ERP · Communication · English · Communication Skills · Customer Support · Dynamics AX · Computer Science · Science - June 14,Entery Level,Internship,Software Engneering 
System Engineer, Esmaar, Full Time · Entry Level · 1+ Yrs of Exp · System Administration · Information Technology (IT) · Computer Engineering · Computer Science · JBoss · Ruby · Apache · AWS · Tomcat · VMware · Python - June 10,Entery Level,Full Time,Software Engneering 
Graphic Designer & Social Media Specialist, 3agltak-عجلتك, Full Time · Entry Level · 0-5 Yrs of Exp · Social Media · Marketing · Media · E-marketing · Digital Marketing · SEO · Design · Photoshop · Social · Digital · English · Graphic Design · SEA - July 29,Entery Level,Full Time,Software Engneering 
Real Time Management Analyst - Smart Village, UX Centers, Full Time · Entry Level · 1-2 Yrs of Exp · Operations · Call Center · Genesys · Work Force · eWFM · Customer Service · Customer Care · Customer Support · Analysis · Research · Computer Skills - July 4,Entery Level,Full Time,Software Engneering 
